Pin Designator,Pin Package Length
M11,0.000000mil
M12,0.000000mil
M13,0.000000mil
M14,0.000000mil
M15,0.000000mil
M16,0.000000mil
M17,0.000000mil
M18,0.000000mil
M19,0.000000mil
M20,0.000000mil
M21,0.000000mil
M22,0.000000mil
M23,0.000000mil
M24,0.000000mil
M25,138.734055mil
M26,0.000000mil
M27,234.579882mil
M28,229.225079mil
N1,0.000000mil
N2,226.828780mil
N3,0.000000mil
N4,0.000000mil
N5,0.000000mil
N6,0.000000mil
N7,0.000000mil
N8,0.000000mil
N9,0.000000mil
N10,0.000000mil
N11,0.000000mil
N12,0.000000mil
N13,0.000000mil
N14,0.000000mil
N15,0.000000mil
N16,0.000000mil
N17,0.000000mil
N18,0.000000mil
N19,0.000000mil
N20,0.000000mil
N21,0.000000mil
N22,0.000000mil
N23,0.000000mil
N24,0.000000mil
N25,0.000000mil
N26,0.000000mil
N27,234.214528mil
N28,0.000000mil
P1,264.374409mil
P2,251.787756mil
P3,0.000000mil
P4,201.245945mil
P5,155.463858mil
P6,0.000000mil
P7,119.854882mil
P8,0.000000mil
P9,0.000000mil
P10,0.000000mil
P11,0.000000mil
P12,0.000000mil
P13,0.000000mil
P14,0.000000mil
P15,0.000000mil
P16,0.000000mil
P17,0.000000mil
P18,0.000000mil
P19,0.000000mil
P20,0.000000mil
P21,0.000000mil
P22,0.000000mil
P23,0.000000mil
P24,141.391063mil
P25,145.460354mil
P26,0.000000mil
P27,222.119843mil
P28,221.425394mil
R1,252.474055mil
R2,258.032323mil
R3,0.000000mil
R4,179.335315mil
R5,153.432559mil
R6,0.000000mil
R7,135.556063mil
R8,0.000000mil
R9,0.000000mil
R10,0.000000mil
R11,0.000000mil
R12,0.000000mil
R13,0.000000mil
R14,0.000000mil
R15,0.000000mil
R16,0.000000mil
R17,0.000000mil
R18,0.000000mil
R19,0.000000mil
R20,0.000000mil
R21,0.000000mil
R22,0.000000mil
R23,0.000000mil
R24,134.707598mil
R25,147.748898mil
R26,0.000000mil
R27,205.590630mil
R28,219.726654mil
T1,254.603583mil
T2,258.759173mil
T3,0.000000mil
T4,0.000000mil
T5,0.000000mil
T6,0.000000mil
T7,0.000000mil
T8,0.000000mil
T9,0.000000mil
T10,0.000000mil
T11,0.000000mil
T12,0.000000mil
T13,0.000000mil
T14,0.000000mil
T15,0.000000mil
T16,0.000000mil
T17,0.000000mil
T18,0.000000mil
T19,0.000000mil
T20,0.000000mil
T21,0.000000mil
T22,0.000000mil
T23,0.000000mil
T24,0.000000mil
T25,0.000000mil
T26,0.000000mil
T27,276.858701mil
T28,269.608150mil
U1,0.000000mil
U2,243.754961mil
U3,222.698228mil
U4,233.118740mil
U5,152.402480mil
U6,0.000000mil
U7,0.000000mil
U8,0.000000mil
U9,0.000000mil
U10,0.000000mil
U11,0.000000mil
U12,0.000000mil
U13,0.000000mil
U14,0.000000mil
U15,0.000000mil
U16,0.000000mil
U17,0.000000mil
U18,0.000000mil
U19,0.000000mil
U20,0.000000mil
U21,0.000000mil
U22,0.000000mil
U23,0.000000mil
U24,161.104528mil
U25,161.321339mil
U26,0.000000mil
U27,238.123425mil
U28,236.197323mil
V1,289.861339mil
V2,269.656024mil
V3,0.000000mil
V4,207.819094mil
V5,205.708740mil
V6,168.716142mil
V7,150.890236mil
V8,0.000000mil
V9,0.000000mil
V10,0.000000mil
V11,0.000000mil
V12,0.000000mil
V13,0.000000mil
V14,0.000000mil
V15,0.000000mil
V16,0.000000mil
V17,0.000000mil
V18,0.000000mil
V19,0.000000mil
V20,0.000000mil
V21,0.000000mil
V22,0.000000mil
V23,0.000000mil
V24,161.438465mil
V25,168.852874mil
V26,0.000000mil
V27,267.242913mil
V28,269.002087mil
W1,287.259173mil
W2,281.478583mil
W3,0.000000mil
W4,0.000000mil
W5,0.000000mil
W6,0.000000mil
W7,0.000000mil
W8,0.000000mil
W9,0.000000mil
W10,0.000000mil
W11,0.000000mil
W12,0.000000mil
W13,0.000000mil
W14,0.000000mil
W15,0.000000mil
W16,0.000000mil
W17,0.000000mil
W18,0.000000mil
W19,0.000000mil
W20,0.000000mil
W21,0.000000mil
W22,0.000000mil
W23,0.000000mil
W24,0.000000mil
W25,0.000000mil
W26,0.000000mil
W27,274.938937mil
W28,284.381890mil
Y1,287.718819mil
Y2,284.305551mil
Y3,243.859606mil
Y4,248.789921mil
Y5,188.710472mil
Y6,171.086850mil
Y7,144.148150mil
Y8,0.000000mil
Y9,0.000000mil
Y10,0.000000mil
Y11,0.000000mil
Y12,0.000000mil
Y13,0.000000mil
Y14,0.000000mil
Y15,0.000000mil
Y16,0.000000mil
Y17,0.000000mil
Y18,0.000000mil
Y19,0.000000mil
Y20,0.000000mil
Y21,0.000000mil
Y22,0.000000mil
Y23,0.000000mil
Y24,0.000000mil
Y25,260.473425mil
Y26,0.000000mil
Y27,277.635118mil
Y28,286.609961mil
AA1,300.611811mil
AA2,277.199252mil
AA3,249.806260mil
AA4,0.000000mil
AA5,189.998071mil
AA6,171.489094mil
AA7,127.371102mil
AA8,0.000000mil
AA9,0.000000mil
AA10,0.000000mil
AA11,141.346929mil
AA12,0.000000mil
AA13,0.000000mil
AA14,0.000000mil
AA15,0.000000mil
AA16,0.000000mil
AA17,0.000000mil
AA18,0.000000mil
AA19,0.000000mil
AA20,0.000000mil
AA21,0.000000mil
AA22,0.000000mil
AA23,0.000000mil
AA24,0.000000mil
AA25,246.943228mil
AA26,0.000000mil
AA27,282.722874mil
AA28,276.894528mil
AB1,304.218543mil
AB2,0.000000mil
AB3,0.000000mil
AB4,0.000000mil
AB5,197.647913mil
AB6,0.000000mil
AB7,0.000000mil
AB8,170.815945mil
AB9,167.552402mil
AB10,0.000000mil
AB11,0.000000mil
AB12,0.000000mil
AB13,0.000000mil
AB14,0.000000mil
AB15,0.000000mil
AB16,0.000000mil
AB17,0.000000mil
AB18,0.000000mil
AB19,0.000000mil
AB20,0.000000mil
AB21,0.000000mil
AB22,0.000000mil
AB23,0.000000mil
AB24,0.000000mil
AB25,0.000000mil
AB26,0.000000mil
AB27,292.776969mil
AB28,300.143583mil
AC1,337.432244mil
AC2,269.039606mil
AC3,250.956772mil
AC4,226.387441mil
AC5,243.333543mil
AC6,0.000000mil
AC7,217.333504mil
AC8,193.168858mil
AC9,0.000000mil
AC10,0.000000mil
AC11,0.000000mil
AC12,0.000000mil
AC13,0.000000mil
AC14,197.904134mil
AC15,0.000000mil
AC16,0.000000mil
AC17,220.390039mil
AC18,0.000000mil
AC19,0.000000mil
AC20,0.000000mil
AC21,0.000000mil
AC22,0.000000mil
AC23,0.000000mil
AC24,0.000000mil
AC25,0.000000mil
AC26,0.000000mil
AC27,300.616575mil
AC28,296.603583mil
AD1,304.172520mil
AD2,281.930787mil
AD3,0.000000mil
AD4,254.431142mil
AD5,0.000000mil
AD6,261.987402mil
AD7,253.402559mil
AD8,250.593307mil
AD9,269.857835mil
AD10,0.000000mil
AD11,259.266457mil
AD12,226.071693mil
AD13,0.000000mil
AD14,196.622717mil
AD15,219.650787mil
AD16,0.000000mil
AD17,227.707283mil
AD18,271.935906mil
AD19,0.000000mil
AD20,0.000000mil
AD21,0.000000mil
AD22,0.000000mil
AD23,0.000000mil
AD24,0.000000mil
AD25,0.000000mil
AD26,0.000000mil
AD27,329.368858mil
AD28,336.440157mil
AE1,342.279921mil
AE2,320.642913mil
AE3,280.299764mil
AE4,0.000000mil
AE5,286.550669mil
AE6,0.000000mil
AE7,0.000000mil
AE8,274.615433mil
AE9,275.614724mil
AE10,0.000000mil
AE11,253.669685mil
AE12,237.621102mil
AE13,0.000000mil
AE14,0.000000mil
AE15,224.980197mil
AE16,0.000000mil
AE17,0.000000mil
AE18,277.062953mil
AE19,0.000000mil
AE20,0.000000mil
AE21,0.000000mil
AE22,0.000000mil
AE23,0.000000mil
AE24,0.000000mil
AE25,0.000000mil
AE26,0.000000mil
AE27,0.000000mil
AE28,0.000000mil
AF1,358.400630mil
AF2,339.372402mil
AF3,0.000000mil
AF4,317.960197mil
AF5,313.130709mil
AF6,298.119449mil
AF7,0.000000mil
AF8,295.616811mil
AF9,0.000000mil
AF10,0.000000mil
AF11,0.000000mil
AF12,0.000000mil
AF13,0.000000mil
AF14,0.000000mil
AF15,0.000000mil
AF16,0.000000mil
AF17,0.000000mil
AF18,0.000000mil
AF19,0.000000mil
AF20,0.000000mil
AF21,0.000000mil
AF22,0.000000mil
AF23,0.000000mil
AF24,0.000000mil
AF25,0.000000mil
AF26,0.000000mil
AF27,0.000000mil
AF28,0.000000mil
AG1,370.519449mil
AG2,359.621732mil
AG3,342.113189mil
AG4,336.562835mil
AG5,0.000000mil
AG6,327.558898mil
AG7,328.771732mil
AG8,326.209843mil
AG9,348.457283mil
AG10,338.195157mil
AG11,328.533071mil
AG12,317.694882mil
AG13,353.766772mil
AG14,326.741457mil
AG15,309.779685mil
AG16,307.226457mil
AG17,303.234724mil
AG18,0.000000mil
AG19,307.105039mil
AG20,321.699291mil
AG21,332.566181mil
AG22,339.155197mil
AG23,0.000000mil
AG24,0.000000mil
AG25,0.000000mil
AG26,0.000000mil
AG27,0.000000mil
AG28,0.000000mil
AH1,0.000000mil
AH2,380.468189mil
AH3,372.609449mil
AH4,367.519882mil
AH5,364.868228mil
AH6,358.670236mil
AH7,355.598780mil
AH8,0.000000mil
AH9,351.903661mil
AH10,342.426890mil
AH11,332.803898mil
AH12,326.245118mil
AH13,349.249016mil
AH14,322.339213mil
AH15,310.292362mil
AH16,303.937205mil
AH17,297.410906mil
AH18,0.000000mil
AH19,322.212992mil
AH20,318.496299mil
AH21,330.125551mil
AH22,339.507362mil
AH23,0.000000mil
AH24,0.000000mil
AH25,0.000000mil
AH26,0.000000mil
AH27,0.000000mil
AH28,0.000000mil
